Date,Client,Type,Invoice #,Weight (g),Rate (THB/g),Amount (THB)
2025-02-10,Royal,SELL,UP20250033,200,3220,644000
2025-02-09,Anan,SELL,UP20250032,1000,3137,3137000
2025-02-09,Oriantal,BUY,IV250210005,792.18,3027.663,2398454.08
2025-02-06,Royal,SELL,UP20250031,200,3116,623200
2025-02-05,Gold Jewelry,SELL,UP20250030,50,3115,155750
2025-02-04,KAA,SELL,UP20250027,500,3113,1556500
2025-02-04,Oriantal,BUY,IV250205007,1000,2991,2991000
2025-02-04,Hitavi,SELL,UP20250028,34.35,3190,100006.5
2025-02-04,Royal,SELL,UP20250029,50,3108,155400
2025-02-03,Royal,SELL,UP20250026,150,3088,463200
2025-01-30,Morris,BUY,SI2025010144,1000,3000,3000000
2025-01-29,Morris,BUY,SI2025010137,1000,2993,2993000
2025-01-28,Anan,SELL,UP20250024,1000,3001,3001000
2025-01-28,Hitavi,SELL,UP20250025,1000,2996,2996000
2025-01-27,Bhogas,SELL,UP20250023,60,2992,179520
2025-01-26,Gold Jewelry,SELL,UP20250021,50,3007,150350
2025-01-26,Rewa,SELL,UP20250022,50,3020,151000
2025-01-23,Oriantal,BUY,IV250124001,843.84,2985.374,2519178
2025-01-23,Royal gems,SELL,UP20250020,50,3000,150000
2025-01-23,Prosper,BUY,CA250001,160.71,2984,479558.64
2025-01-22,Rewa,SELL,UP20250019,50,3016,150800
2025-01-22,Facets,SELL,UP20250018,337,3009,1014033
2025-01-21,Oriantal,BUY,IV250122004,1707.91,2986.093,5099978.1
2025-01-20,Oriantal,BUY,IV250121007,1000,2988.9,2988900
2025-01-20,Royal,SELL,UP20250016,500,2991,1495500
2025-01-20,Roya Gem,SELL,UP20250017,200,2990,598000
2025-01-19,Hitavi,SELL,UP20250015,493,2995,1476535
2025-01-19,Royal,SELL,UP20250013,1000,2993,2993000
2025-01-19,Anan,SELL,UP20250014,1000,2998,2998000
2025-01-19,Oriantal,BUY,IV250120007,1190.29,2982.396,3549916.14
2025-01-16,Royal,SELL,UP20250011,200,3015,603000
2025-01-16,Rewa,SELL,UP20250012,100,3015,301500
2025-01-15,Royal,SELL,UP20250008,150,3003,450450
2025-01-15,Gold Jewelry,SELL,UP20250009,50,3010,150500
2025-01-14,Royal,SELL,UP20250007,200,2999,599800
2025-01-12,Hitavi,SELL,UP20250005,33.32,3002,100026.64
2025-01-12,Facets,SELL,UP20250006,288,3012,867456
2025-01-09,Royal,SELL,UP20250004,300,2984,895200
2025-01-08,Royal,SELL,UP20250003,200,2970,594000
2025-01-07,Oriantal,BUY,IV250108002,1470.75,2935.931,4318020.52
2025-01-06,Gold Jewelry,SELL,UP20250002,50,2946,147300
2025-01-05,R Can,SELL,UP20250001,500,2940.6,1470300
